상호명,상권업종대분류명,상권업종중분류명,상권업종소분류명,도로명주소,구우편번호,신우편번호,경도,위도
씨유의왕동영벤처스텔점,소매,종합 소매,편의점,경기도 의왕시 오전공업길 22,437820.0,16071,126.965280395543,37.3555697511361
GS25수원,소매,종합 소매,편의점,경기도 수원시 영통구 영통로241번길 12-6,443472.0,16679,127.057224776097,37.2492297238856
드림파하이큐,소매,종합 소매,슈퍼마켓,경기도 화성시 서신면 당고지길 15,445883.0,18554,126.698229574777,37.1988870710377
스토리웨이,소매,종합 소매,편의점,경기도 남양주시 경춘로 433,,12259,127.161149337792,37.6088285058745
깊이울계곡매점,소매,종합 소매,슈퍼마켓,경기도 포천시 신북면 깊이울로 234-28,487913.0,11136,127.165702108527,37.9191144635114
한빛슈퍼,소매,종합 소매,슈퍼마켓,경기도 군포시 번영로 82,435020.0,15878,126.937229490355,37.3309420543535
스마일마트,소매,종합 소매,슈퍼마켓,경기도 광주시 곤지암읍 평촌길 66,464937.0,12805,127.323477911709,37.3548352207713
크림365매일할인점,소매,종합 소매,슈퍼마켓,경기도 광주시 능평로 97,464921.0,12773,127.168698765979,37.350291666004
빈야드723,소매,종합 소매,슈퍼마켓,경기도 고양시 일산동구 고봉로 723,410819.0,10245,126.789051630536,37.7213994403304
세븐동두천거북로점,소매,종합 소매,편의점,경기도 동두천시 거북마루로 10,483010.0,11348,127.047068673898,37.8958061774723
씨유괴안스마트점,소매,종합 소매,편의점,경기도 부천시 소사구 경인로562번길 20,422826.0,14679,126.817542008955,37.485757238241
세븐판교도서관점,소매,종합 소매,편의점,경기도 성남시 분당구 판교공원로3길 8,463410.0,13477,127.090544020283,37.3911847500232
세븐평촌２호점주,소매,종합 소매,편의점,경기도 안양시 동안구 평촌대로223번길 42,431812.0,14072,126.95330528785,37.3909128573425
씨유김포북변점,소매,종합 소매,편의점,경기도 김포시 중봉1로 89,415833.0,10106,126.705852606486,37.6270781870786
지에스25오산한국,소매,종합 소매,편의점,경기도 오산시 밀머리로1번길 12-6,447804.0,18144,127.074836514477,37.1410395438407
