상호명,상권업종대분류명,상권업종중분류명,상권업종소분류명,도로명주소,구우편번호,신우편번호,경도,위도
곰당구클럽,예술·스포츠,스포츠 서비스,당구장,경기도 안산시 단원구 보배4길 15,425800.0,15271,126.829312975499,37.3311599598759
율리너,예술·스포츠,스포츠 서비스,헬스장,경기도 이천시 대산로288번길 107,467808.0,17336,127.473651288105,37.2503415852616
골프앤죠이,예술·스포츠,스포츠 서비스,골프 연습장,경기도 고양시 덕양구 토당로 115,412817.0,10506,126.817076698631,37.6253659162922
쉽게하는다이어트,예술·스포츠,스포츠 서비스,헬스장,경기도 안양시 만안구 삼봉로 23,430803.0,14017,126.904520094474,37.4008938814277
피트니스209,예술·스포츠,스포츠 서비스,헬스장,경기도 화성시 영통로 14-10,445330.0,18380,127.065078347189,37.2331239850205
까치당구장,예술·스포츠,스포츠 서비스,당구장,경기도 양주시 평화로 1435,482050.0,11443,127.046009069682,37.8190365351668
피크바이짐,예술·스포츠,스포츠 서비스,헬스장,경기도 오산시 수청로 201,447280.0,18109,127.04452420758,37.176403316785
레츠플레이테니스,예술·스포츠,스포츠 서비스,테니스장,경기도 부천시 원미구 길주로 251,420849.0,14539,126.770550836108,37.5042810772735
자마이카피트니스&스파,예술·스포츠,스포츠 서비스,헬스장,경기도 안양시 동안구 평촌대로243번길 30,431811.0,14047,126.953044362126,37.3928319320982
장안당구장,예술·스포츠,스포츠 서비스,당구장,경기도 수원시 장안구 정조로934번길 8,440818.0,16269,127.013318855373,37.2910240841541
백마골프타운,예술·스포츠,스포츠 서비스,골프 연습장,경기도 고양시 일산동구 고풍로43번길 48,410843.0,10300,126.794085727095,37.6606105197198
세인,예술·스포츠,스포츠 서비스,골프 연습장,경기도 포천시 소흘읍 솔모루로 179,487823.0,11170,127.153553536088,37.8358293352131
동편스크린골프,예술·스포츠,스포츠 서비스,골프 연습장,경기도 안양시 동안구 동편로 16,431061.0,13929,126.971503158699,37.4060377855945
